slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
algorand-metrics-dashboard-mainnet,Algorand,Algorand Metrics Dashboard Mainnet,"[""[Dashboard](https://algorand.co/metrics)""]",mainnet,"[""Transactions"",""Network Metrics"",""Active Addresses"",""Block Data"",""Performance Metrics""]",TRUE,,"[""Real-time Metrics API"",""Network Status API""]",$0,,Free,FALSE,analytics
allo-mainnet,Allo,Allo Mainnet,"[""[Dashboard](https://metrics.allo.info/)""]",mainnet,"[""Transactions"",""Assets"",""Apps"",""Blocks"",""Accounts"",""NFDomains"",""TEAL Contracts""]",TRUE,,"[""TEAL Inspector API"",""Account API"",""Asset API""]",$0,,Free,FALSE,analytics
artemis-mainnet,Artemis,!offer:artemis,"[""[Dashboard](https://classic.artemis.ai/asset/algorand)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
chainspect-mainnet,Chainspect,!offer:chainspect,"[""[Dashboard](https://chainspect.app/chain/algorand)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinexams-mainnet,CoinExams,Coinexams Mainnet,"[""[Dashboard](https://coinexams.com/utility/algorand)""]",mainnet,"[""Crypto Utility Metrics"",""Network Functionality"",""Token Utility Evaluation"",""Fees""]",TRUE,,"[""Utility Scores API""]",$0,,Free,FALSE,analytics
coingecko-api-analyst,Coingecko,!offer:coingecko-api-analyst,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coingecko-api-basic,Coingecko,!offer:coingecko-api-basic,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coingecko-api-lite,Coingecko,!offer:coingecko-api-lite,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinglass,Coinglass,!offer:coinglass,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-basic,Coinmarketcap,!offer:coinmarketcap-basic,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-enterprise,Coinmarketcap,!offer:coinmarketcap-enterprise,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-hobbyist,Coinmarketcap,!offer:coinmarketcap-hobbyist,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-professional,Coinmarketcap,!offer:coinmarketcap-professional,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-standard,Coinmarketcap,!offer:coinmarketcap-standard,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-startup,Coinmarketcap,!offer:coinmarketcap-startup,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
cryptoquant-mainnet-advanced,Cryptoquant,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/algo/summary)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
cryptoquant-mainnet-basic,Cryptoquant,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/algo/summary)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
