slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
algorand-mainnet-indexer,Algorand,!offer:algorand-indexer,View,,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://algorand.mainnet.indexer.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
algorand-testnet-indexer,Algorand,!offer:algorand-indexer,View,,Node RPC,Yes,JSON-RPC,TypeScript,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://algorand.testnet.indexer.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
blockdaemon-mainnet-dedicated-full-archive,Blockdaemon,!offer:blockdaemon-dedicated-full-archive,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://blockdaemon.mainnet.dedicated.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
blockdaemon-mainnet-free-full-archive,Blockdaemon,!offer:blockdaemon-free-full-archive,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/reference/algorand-rpc-methods)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://blockdaemon.mainnet.free.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
blockdaemon-mainnet-growth-recent-full-archive,Blockdaemon,!offer:blockdaemon-growth-full-archive,"[""[Buy](https://www.blockdaemon.com/api/rpc)"",""[Docs](https://docs.blockdaemon.com/reference/algorand-rpc-methods)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://blockdaemon.mainnet.growth.recent.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
blockdaemon-mainnet-starter-full-archive,Blockdaemon,!offer:blockdaemon-starter-full-archive,"[""[Buy](https://www.blockdaemon.com/api/rpc)"",""[Docs](https://docs.blockdaemon.com/reference/algorand-rpc-methods)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://blockdaemon.mainnet.starter.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
blockdaemon-testnet-dedicated-full-archive,Blockdaemon,!offer:blockdaemon-dedicated-full-archive,"[""[Website](https://www.blockdaemon.com/protocols/algorand)"",""[Docs](https://docs.blockdaemon.com/docs/algorand)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://blockdaemon.testnet.dedicated.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
chain-love-free,Chain,!offer:chain-love-free,"[""[Docs](https://chain-love.gitbook.io/chain-love-docs/blockchains/algorand)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status","[""10 req/min without authenthication"",""10M Credits with authenthication""]",Standard,Basic,Global,Blockchain infrastructure,https://chain.love.free.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
getblock-mainnet-advanced-recent-state,Getblock,!offer:getblock-advanced-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://getblock.mainnet.advanced.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
getblock-mainnet-dedicated-recent-state,Getblock,!offer:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://getblock.mainnet.dedicated.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
