slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
algokit-avm-vscode-debugger,Algokit,!offer:algokit-avm-vscode-debugger,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
algokit-cli,Algokit,!offer:algokit-cli,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
algokit-client-generator-py,Algokit,!offer:algokit-client-generator-py,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
algokit-client-generator-ts,Algokit,!offer:algokit-client-generator-ts,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
algokit-utils-py,Algokit,!offer:algokit-utils-py,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
algokit-utils-ts,Algokit,!offer:algokit-utils-ts,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
algorand-go-sdk,Algorand,!offer:algorand-go-sdk,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
algorand-java-sdk,Algorand,!offer:algorand-java-sdk,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
algorand-javascript-sdk,Algorand,!offer:algorand-javascript-sdk,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
algorand-python-sdk,Algorand,!offer:algorand-python-sdk,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
dfns-sdk-basic,Dfns,!offer:dfns-sdk-basic,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
dfns-sdk-pro,Dfns,!offer:dfns-sdk-pro,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
dfns-sdk-starter,Dfns,!offer:dfns-sdk-starter,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
dynamic-sdk-free,Dynamic,!offer:dynamic-sdk-free,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
dynamic-sdk-growth,Dynamic,!offer:dynamic-sdk-growth,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
pinata-sdk-fiesta,Pinata,!offer:pinata-sdk-fiesta,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
pinata-sdk-free,Pinata,!offer:pinata-sdk-free,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
pinata-sdk-picnic,Pinata,!offer:pinata-sdk-picnic,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
tatum-sdk-free,Tatum,!offer:tatum-sdk-free,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
tatum-sdk-pro,Tatum,!offer:tatum-sdk-pro,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
tatum-sdk-scale,Tatum,!offer:tatum-sdk-scale,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
tatum-sdk-starter,Tatum,!offer:tatum-sdk-starter,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
tinyman-js-sdk,Tinyman,!offer:tinyman-js-sdk,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
tinyman-py-sdk,Tinyman,!offer:tinyman-py-sdk,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
wormhole-sdk-free,Wormhole,!offer:wormhole-sdk-free,"[""[Docs](https://wormhole.com/docs/tools/typescript-sdk/get-started/)""]",SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
wormhole-sdk-usage,Wormhole,!offer:wormhole-sdk-usage,"[""[Docs](https://wormhole.com/docs/tools/typescript-sdk/get-started/)""]",SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
