slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
cid-checker-calibnet,Cid,!offer:cid-checker,View,calibnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
cid-checker-mainnet,Cid,!offer:cid-checker,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coingecko-api-analyst,Coingecko,!offer:coingecko-api-analyst,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coingecko-api-basic,Coingecko,!offer:coingecko-api-basic,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coingecko-api-lite,Coingecko,!offer:coingecko-api-lite,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinglass,Coinglass,!offer:coinglass,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-basic,Coinmarketcap,!offer:coinmarketcap-basic,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-enterprise,Coinmarketcap,!offer:coinmarketcap-enterprise,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-hobbyist,Coinmarketcap,!offer:coinmarketcap-hobbyist,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-professional,Coinmarketcap,!offer:coinmarketcap-professional,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-standard,Coinmarketcap,!offer:coinmarketcap-standard,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-startup,Coinmarketcap,!offer:coinmarketcap-startup,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
cryptoquant-mainnet-advanced,Cryptoquant,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/fil/summary)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
cryptoquant-mainnet-basic,Cryptoquant,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/fil/summary)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
cryptoquant-mainnet-premium,Cryptoquant,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/fil/summary)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
cryptoquant-mainnet-professional,Cryptoquant,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/fil/summary)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
defillama-mainnet-api,Defillama,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/filecoin)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
defillama-mainnet-free,Defillama,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/filecoin)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
defillama-mainnet-pro,Defillama,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/filecoin)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
dune-mainnet-analyst,Dune,!offer:dune-analyst,"[""[Dashboard](https://dune.com/kalen/filecoin-daily-metrics)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
dune-mainnet-free,Dune,!offer:dune-free,"[""[Dashboard](https://dune.com/kalen/filecoin-daily-metrics)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
dune-mainnet-plus,Dune,!offer:dune-plus,"[""[Dashboard](https://dune.com/kalen/filecoin-daily-metrics)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
fil-plus-datacap,Fil,!offer:fil-plus-datacap,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
glassnode,Glassnode,!offer:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=FIL)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
laevitas-mainnet-enterprise,Laevitas,!offer:laevitas-enterprise,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
laevitas-mainnet-free,Laevitas,!offer:laevitas-free,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
laevitas-mainnet-premium,Laevitas,!offer:laevitas-premium,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
