slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
allthatnode-calibnet-dedicated-recent-state,Allthatnode,!offer:allthatnode-dedicated-recent-state,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Website](https://www.allthatnode.com/filecoin.dsrv)""]",,Node RPC,Yes,JSON-RPC,TypeScript,calibnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://allthatnode.calibnet.dedicated.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
allthatnode-mainnet-dedicated-recent-state,Allthatnode,!offer:allthatnode-dedicated-recent-state,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Website](https://www.allthatnode.com/filecoin.dsrv)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://allthatnode.mainnet.dedicated.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
ankr-calibnet-free-recent-state,Ankr,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/c-i-p2/#filecoin)""]",,Node RPC,Yes,JSON-RPC,TypeScript,calibnet,Free,Free,FALSE,Yes,"[""All read methods + MPoolPush""]",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.calibnet.free.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
ankr-calibnet-pay-as-you-go-recent-state,Ankr,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/c-i-p2/#filecoin)""]",,Node RPC,Yes,JSON-RPC,TypeScript,calibnet,Free,Free,FALSE,Yes,"[""All read methods + MPoolPush""]",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.calibnet.pay.as.you.go.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
ankr-mainnet-free-recent-state,Ankr,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/c-i-p2/#filecoin)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"[""All read methods + MPoolPush""]",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.mainnet.free.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
ankr-mainnet-pay-as-you-go-recent-state,Ankr,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/c-i-p2/#filecoin)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"[""All read methods + MPoolPush"",""Advanced Ankr API""]",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.mainnet.pay.as.you.go.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
blockeden-mainnet-basic-recent-state,Blockeden,!offer:blockeden-basic-recent-state,"[""[Buy](https://blockeden.xyz/pricing)"",""[Filecoin RPC](https://blockeden.xyz/api-marketplace/filecoin)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://blockeden.mainnet.basic.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
blockeden-mainnet-enterprise-50-recent-state,Blockeden,!offer:blockeden-enterprise-50-recent-state,"[""[Buy](https://blockeden.xyz/pricing)"",""[Filecoin RPC](https://blockeden.xyz/api-marketplace/filecoin)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://blockeden.mainnet.enterprise.50.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
blockeden-mainnet-enterprise-500-recent-state,Blockeden,!offer:blockeden-enterprise-500-recent-state,"[""[Buy](https://blockeden.xyz/pricing)"",""[Filecoin RPC](https://blockeden.xyz/api-marketplace/filecoin)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://blockeden.mainnet.enterprise.500.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
blockeden-mainnet-free-recent-state,Blockeden,!offer:blockeden-free-recent-state,"[""[Website](https://blockeden.xyz/pricing)"",""[Filecoin RPC](https://blockeden.xyz/api-marketplace/filecoin)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://blockeden.mainnet.free.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
