slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
beryx-calibnet,Beryx,!offer:beryx,View,calibnet,TypeScript,Basic,Blockchain infrastructure,FALSE,"Chain data, Block info, Transaction status",JavaScript,,,,,explorers
beryx-mainnet,Beryx,!offer:beryx,View,mainnet,TypeScript,Basic,Blockchain infrastructure,FALSE,"Chain data, Block info, Transaction status",JavaScript,,,,,explorers
bitquery-mainnet,Bitquery,!offer:bitquery,"[""[Explore](https://explorer.bitquery.io/filecoin)""]",mainnet,TypeScript,Basic,Blockchain infrastructure,FALSE,"Chain data, Block info, Transaction status",JavaScript,,,,,explorers
blockscout-calibnet,Blockscout,!offer:blockscout,"[""[Explore](https://filecoin-testnet.blockscout.com/)"",""[Docs](https://docs.blockscout.com/)""]",calibnet,TypeScript,Basic,Blockchain infrastructure,FALSE,"Chain data, Block info, Transaction status",JavaScript,,,,,explorers
blockscout-mainnet,Blockscout,!offer:blockscout,"[""[Explore](https://filecoin.blockscout.com/)"",""[Docs](https://docs.blockscout.com/)""]",mainnet,TypeScript,Basic,Blockchain infrastructure,FALSE,"Chain data, Block info, Transaction status",JavaScript,,,,,explorers
filfox-calibnet,Filfox,!offer:filfox,"[""[Explore](https://calibration.filfox.info/en)""]",calibnet,TypeScript,Basic,Blockchain infrastructure,FALSE,"Chain data, Block info, Transaction status",JavaScript,,,,,explorers
filfox-mainnet,Filfox,!offer:filfox,View,mainnet,TypeScript,Basic,Blockchain infrastructure,FALSE,"Chain data, Block info, Transaction status",JavaScript,,,,,explorers
filscan-calibnet,Filscan,!offer:filscan,"[""[Explore](https://calibration.filscan.io/)""]",calibnet,TypeScript,Basic,Blockchain infrastructure,FALSE,"Chain data, Block info, Transaction status",JavaScript,,,,,explorers
filscan-mainnet,Filscan,!offer:filscan,View,mainnet,TypeScript,Basic,Blockchain infrastructure,FALSE,"Chain data, Block info, Transaction status",JavaScript,,,,,explorers
starboard-mainnet,Starboard,!offer:starboard,View,mainnet,TypeScript,Basic,Blockchain infrastructure,FALSE,"Chain data, Block info, Transaction status",JavaScript,,,,,explorers
uviblock-calibnet,Uviblock,!offer:uviblock,View,calibnet,TypeScript,Basic,Blockchain infrastructure,FALSE,"Chain data, Block info, Transaction status",JavaScript,,,,,explorers
uviblock-mainnet,Uviblock,!offer:uviblock,View,mainnet,TypeScript,Basic,Blockchain infrastructure,FALSE,"Chain data, Block info, Transaction status",JavaScript,,,,,explorers
