slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
abitype,Abitype,!offer:abitype,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
ape-framework,Ape,!offer:ape-framework,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
blockdaemon-sdk-free,Blockdaemon,!offer:blockdaemon-sdk-free,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
blockdaemon-sdk-growth,Blockdaemon,!offer:blockdaemon-sdk-growth,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
blockdaemon-sdk-starter,Blockdaemon,!offer:blockdaemon-sdk-starter,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
connectkit,Connectkit,!offer:connectkit,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
eth-abi,Eth,!offer:eth-abi,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
eth-account,Eth,!offer:eth-account,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
ethereumjs,Ethereumjs,!offer:ethereumjs,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
ethers-js,Ethers,!offer:ethers-js,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
filecoin-blstrs,Filecoin,!offer:filecoin-blstrs,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
filecoin-ffi,Filecoin,!offer:filecoin-ffi,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
filecoin-go-commp-utils,Filecoin,!offer:filecoin-go-commp-utils,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
filecoin-go-fil-commp-hashhash,Filecoin,!offer:filecoin-go-fil-commp-hashhash,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
filecoin-go-paramfetch,Filecoin,!offer:filecoin-go-paramfetch,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
foundry,Foundry,!offer:foundry,"[""[Docs](https://docs.filecoin.io/build-on-filecoin/development-frameworks/foundry)""]",SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
fvm-assemblyscript-sdk,Fvm,!offer:fvm-assemblyscript-sdk,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
fvm-powergate-textile,Fvm,!offer:fvm-powergate-textile,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
go-ethereum,Go,!offer:go-ethereum,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
hardhat,Hardhat,!offer:hardhat,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
iso-filecoin,Iso,!offer:iso-filecoin,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
magic,Magic,!offer:magic,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
openzeppelin,Openzeppelin,!offer:openzeppelin,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
ox,Ox,!offer:ox,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
safe-api-kit,Safe,!offer:safe-api-kit,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
safe-protocol-kit,Safe,!offer:safe-protocol-kit,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
synapse-core,Synapse,!offer:synapse-core,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
synapse-react,Synapse,!offer:synapse-react,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
synapse-sdk,Synapse,!offer:synapse-sdk,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
tevm,Tevm,!offer:tevm,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
wagmi,Wagmi,!offer:wagmi,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
web3-js,Web3,!offer:web3-js,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
web3-py,Web3,!offer:web3-py,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
web3j,Web3J,!offer:web3j,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
