slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
filebase-free,Filebase,!offer:filebase-free,View,,storages,,,,,FALSE
filebase-pay-as-you-go,Filebase,!offer:filebase-pay-as-you-go,View,,storages,,,,,FALSE
filecoin-onchain-cloud-warm-storage,Filecoin,!offer:filecoin-onchain-cloud-warm-storage,View,,storages,,,,,FALSE
lighthouse-free,Lighthouse,!offer:lighthouse-free,View,,storages,,,,,FALSE
lighthouse-lite,Lighthouse,!offer:lighthouse-lite,View,,storages,,,,,FALSE
lighthouse-premium,Lighthouse,!offer:lighthouse-premium,View,,storages,,,,,FALSE
pinata-fiesta,Pinata,!offer:pinata-fiesta,View,,storages,,,,,FALSE
pinata-free,Pinata,!offer:pinata-free,View,,storages,,,,,FALSE
pinata-picnic,Pinata,!offer:pinata-picnic,View,,storages,,,,,FALSE
ramo-object-storage,Ramo,!offer:ramo-object-storage,View,,storages,,,,,FALSE
storacha-extra-spicy,Storacha,!offer:storacha-extra-spicy,View,,storages,,,,,FALSE
storacha-medium,Storacha,!offer:storacha-medium,View,,storages,,,,,FALSE
storacha-mild,Storacha,!offer:storacha-mild,View,,storages,,,,,FALSE
zeeve-build,Zeeve,!offer:zeeve-build,View,,storages,,,,,FALSE
zeeve-free,Zeeve,!offer:zeeve-free,View,,storages,,,,,FALSE
zeeve-growth,Zeeve,!offer:zeeve-growth,View,,storages,,,,,FALSE
zeeve-launch,Zeeve,!offer:zeeve-launch,View,,storages,,,,,FALSE
