slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
ascoin-wallet,Ascoin,!offer:ascoin-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
atomic-wallet,Atomic,!offer:atomic-wallet,"[""[Website](https://atomicwallet.io/filecoin-wallet)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
backpack,Backpack,!offer:backpack,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
binance-wallet,Binance,!offer:binance-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
brave-wallet,Brave,!offer:brave-wallet,"[""[Website](https://brave.com/wallet/)"",""[Filecoin Docs](https://docs.filecoin.io/networks-and-tools/assets/wallets)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,FALSE,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
bybit-wallet,Bybit,!offer:bybit-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
clave-wallet,Clave,!offer:clave-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
coin-wallet,Coin,!offer:coin-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
coinomi-wallet,Coinomi,!offer:coinomi-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
cwallet,Cwallet,!offer:cwallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
foxwallet,Foxwallet,!offer:foxwallet,"[""[Website](https://foxwallet.com/)"",""[Docs](https://hc.foxwallet.com/docs/filecoin/)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
gem-wallet,Gem,!offer:gem-wallet,"[""[Website](https://gemwallet.com/filecoin-wallet/)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
glif,Glif,Glif,"[""[Website](https://www.glif.io/en/wallet)""]",TRUE,"[""Web""]",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"[""ERC-20""]",TRUE,$0,"[""email"", ""slack""]","[""Audited (self claim)""]","[""EN"", ""CH""]",TRUE,wallets
gnosis-safe,SAFE by Protofire,Gnosis Safe,"[""[Online Wallet](https://safe.filecoin.io/)""]",TRUE,"[""Web"", ""iOS"", ""Android""]",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"", ""ERC-721""]",FALSE,$0,"[""email""]","[""Contracts by Ackee Blockchain in April 2023""]","[""EN""]",TRUE,wallets
imtoken,Imtoken,!offer:imtoken,"[""[Website](https://www.token.im/fil-wallet)"",""[Filecoin Docs](https://docs.filecoin.io/networks-and-tools/assets/wallets)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,FALSE,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
iron-wallet,Iron,!offer:iron-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
kryptogo-wallet,Kryptogo,!offer:kryptogo-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
ledger,Ledger,!offer:ledger,"[""[Website](https://www.ledger.com/coin/wallet/filecoin)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
math-wallet,Math,!offer:math-wallet,"[""[Website](https://mathwallet.org/filecoin-wallet/en/)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
