slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
chainspect-mainnet,Chainspect,!offer:chainspect,"[""[Dashboard](https://chainspect.app/chain/somnia)""]",mainnet,"[""Real-time TPS"",""Max TPS"",""Transaction Volume"",""Block Time"",""Finality"",""Total Transactions"",""Nakamoto Coefficient"",""Validators"",""Financial Metrics""]",,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coingecko-api-analyst,Coingecko,!offer:coingecko-api-analyst,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coingecko-api-basic,Coingecko,!offer:coingecko-api-basic,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coingecko-api-lite,Coingecko,!offer:coingecko-api-lite,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinglass-mainnet,Coinglass,!offer:coinglass,"[""[Dashboard](https://www.coinglass.com/currencies/SOMI)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-basic,Coinmarketcap,!offer:coinmarketcap-basic,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-enterprise,Coinmarketcap,!offer:coinmarketcap-enterprise,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-hobbyist,Coinmarketcap,!offer:coinmarketcap-hobbyist,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-professional,Coinmarketcap,!offer:coinmarketcap-professional,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-standard,Coinmarketcap,!offer:coinmarketcap-standard,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
coinmarketcap-startup,Coinmarketcap,!offer:coinmarketcap-startup,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
defillama-mainnet-api,Defillama,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/somnia)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
defillama-mainnet-free,Defillama,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/somnia)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
defillama-mainnet-pro,Defillama,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/somnia)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
dune-mainnet-analyst,Dune,!offer:dune-analyst,"[""[Dashboard](https://dune.com/blockchains/somnia)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
dune-mainnet-free,Dune,!offer:dune-free,"[""[Dashboard](https://dune.com/blockchains/somnia)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
dune-mainnet-plus,Dune,!offer:dune-plus,"[""[Dashboard](https://dune.com/blockchains/somnia)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
laevitas-mainnet-enterprise,Laevitas,!offer:laevitas-enterprise,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
laevitas-mainnet-free,Laevitas,!offer:laevitas-free,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
laevitas-mainnet-premium,Laevitas,!offer:laevitas-premium,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
messari-mainnet,Messari,!offer:messari,"[""[Dashboard](https://messari.io/project/somnia)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
nansen-mainnet,Nansen,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=somnia)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-business-max,Santiment,!offer:santiment-business-max,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-business-pro,Santiment,!offer:santiment-business-pro,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-free,Santiment,!offer:santiment-free,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-sanbase-max,Santiment,!offer:santiment-sanbase-max,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-sanbase-pro,Santiment,!offer:santiment-sanbase-pro,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
tokenterminal-mainnet,Tokenterminal,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/somnia)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
