slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
ankr-mainnet-free-full-archive,Ankr,!offer:ankr-free-full-archive,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.mainnet.free.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
ankr-mainnet-free-recent-state,Ankr,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.mainnet.free.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
ankr-mainnet-pay-as-you-go-full-archive,Ankr,!offer:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.mainnet.pay.as.you.go.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
ankr-mainnet-pay-as-you-go-recent-state,Ankr,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.mainnet.pay.as.you.go.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
ankr-mainnet-public-full-archive,Ankr,!offer:ankr-public-full-archive,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.mainnet.public.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
ankr-testnet-free-full-archive,Ankr,!offer:ankr-free-full-archive,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,Node RPC,Yes,JSON-RPC,TypeScript,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.testnet.free.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
ankr-testnet-free-recent-state,Ankr,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,Node RPC,Yes,JSON-RPC,TypeScript,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.testnet.free.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
ankr-testnet-pay-as-you-go-full-archive,Ankr,!offer:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,Node RPC,Yes,JSON-RPC,TypeScript,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.testnet.pay.as.you.go.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
ankr-testnet-pay-as-you-go-recent-state,Ankr,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,Node RPC,Yes,JSON-RPC,TypeScript,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.testnet.pay.as.you.go.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
ankr-testnet-public-full-archive,Ankr,!offer:ankr-public-full-archive,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,Node RPC,Yes,JSON-RPC,TypeScript,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://ankr.testnet.public.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
