slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
abitype,Abitype,!offer:abitype,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
alloy,Alloy,!offer:alloy,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
ape-framework,Ape,!offer:ape-framework,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
connectkit,Connectkit,!offer:connectkit,"[""[Docs](https://docs.somnia.network/developer/building-dapps/wallet-integration-and-auth/authenticating-with-connectkit)""]",SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
ens-js,Ens,!offer:ens-js,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
eth-abi,Eth,!offer:eth-abi,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
eth-account,Eth,!offer:eth-account,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
ethereumjs,Ethereumjs,!offer:ethereumjs,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
ethers-js,Ethers,!offer:ethers-js,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
foundry,Foundry,!offer:foundry,"[""[Docs](https://docs.somnia.network/developer/development-frameworks/deploy-with-foundry)""]",SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
go-ethereum,Go,!offer:go-ethereum,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
hardhat,Hardhat,!offer:hardhat,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
lifi-sdk,Lifi,!offer:lifi-sdk,"[""[Website](https://li.fi)"",""[Integration](https://li.fi/knowledge-hub/bringing-cross-chain-liquidity-to-somnia-powered-by-li.fi)""]",SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
nethereum,Nethereum,!offer:nethereum,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
openzeppelin,Openzeppelin,!offer:openzeppelin,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
ox,Ox,!offer:ox,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
prb-test,Prb,!offer:prb-test,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
rainbowkit-testnet,Rainbowkit,!offer:rainbowkit,"[""[Docs](https://docs.somnia.network/developer/building-dapps/wallet-integration-and-auth/authenticating-with-rainbowkit)""]",SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
safe-protocol-kit,Safe,!offer:safe-protocol-kit,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
sequence-sdk-free,Sequence,!offer:sequence-sdk-free,"[""[Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools/sdks)""]",SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
somnia-data-streams-sdk,Somnia,!offer:somnia-data-streams-sdk,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
tevm,Tevm,!offer:tevm,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
thirdweb-sdk,Thirdweb,!offer:thirdweb-sdk,"[""[Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools/sdks)""]",SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
viem,Viem,!offer:viem,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
wagmi,Wagmi,!offer:wagmi,"[""[Website](https://docs.somnia.network/developer/building-dapps/wallet-integration-and-auth/authenticating-with-connectkit)""]",SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
web3-js,Web3,!offer:web3-js,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
web3-py,Web3,!offer:web3-py,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
web3auth-base,Web3Auth,!offer:web3auth-base,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
web3auth-growth,Web3Auth,!offer:web3auth-growth,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
web3auth-scale,Web3Auth,!offer:web3auth-scale,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
web3j,Web3J,!offer:web3j,View,SDK,TypeScript,sdks,SDK for blockchain development,Library,,,,FALSE,,,,,
