slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
ambire-wallet,Ambire,!offer:ambire-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
binance-wallet,Binance,!offer:binance-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
clave-wallet,Clave,!offer:clave-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
coin-wallet,Coin,!offer:coin-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
coinomi-wallet,Coinomi,!offer:coinomi-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
gem-wallet,Gem,!offer:gem-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
kryptogo-wallet,Kryptogo,!offer:kryptogo-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
ledger,Ledger,!offer:ledger,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
metamask,Metamask,!offer:metamask,"[""[Docs](https://docs.somnia.network/get-started/connect-your-wallet-to-mainnet)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
nufi-wallet,Nufi,!offer:nufi-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
phantom,Phantom,!offer:phantom,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
privy-wallet,Privy,!offer:privy-wallet,"[""[Website](https://www.privy.io/wallets)"",""[Docs](https://docs.somnia.network/developer/building-dapps/wallet-integration-and-auth/authenticating-with-privy)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
rabby,Rabby,!offer:rabby,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
ronin-wallet,Ronin,!offer:ronin-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
saakuru-wallet,Saakuru,!offer:saakuru-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
safe-gnosis,Palmera,!offer:safe-gnosis,"[""[Website](https://safe.somnia.network/)"",""[Docs](https://docs.somnia.network/developer/infrastructure-providers/safes)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
sequence,Sequence,!offer:sequence,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
thirdweb-in-app-wallet,Thirdweb,!offer:thirdweb-in-app-wallet,"[""[Website](https://thirdweb.com/somnia)"",""[Docs](https://portal.thirdweb.com/wallets)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
trustwallet,Trustwallet,!offer:trustwallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
walletverse,Walletverse,!offer:walletverse,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
zerion,Zerion,!offer:zerion,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
